title,link,salary,company,com_type,area,post_time,exp_level,edu_level,job_type
Basketball Coach,http://jobleadchina.com/job/2601,6000K/MTH - 12000K/MTH,Mr.Zhu,Teaching Center,Shenzhen,"Post time: November 13, 2018",Experience: Executive,Any education,Part-time
Basketball Coach,http://jobleadchina.com/job/2594,6000K/MTH - 12000K/MTH,Mr.Zhu,Teaching Center,Shenzhen,"Post time: November 13, 2018",Experience: Associate,Any education,Part-time
英语老师,http://jobleadchina.com/job/2902,20K/MTH - 40K/MTH,Risfond Executive Search,Others,Beijing,"Post time: November 13, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
Foreign Kindergarten Teacher,http://jobleadchina.com/job/2901,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: November 13, 2018",Experience: Associate,Bachelor,Full-time
 House teacher for K-G2,http://jobleadchina.com/job/2894,20K/MTH - 40K/MTH,T-school,School,Beijing,"Post time: November 08, 2018",Experience: Executive,Bachelor,Full-time
Foreign English Teacher,http://jobleadchina.com/job/2878,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: November 07, 2018",Experience: Associate,Bachelor,Full-time
English Teacher for Children,http://jobleadchina.com/job/2035,8K/MTH - 10K/MTH,Infotop,Software,Others,"Post time: November 05, 2018",Experience: Executive,Any education,Full-time
English Teacher for Children,http://jobleadchina.com/job/2051,8K/MTH - 10K/MTH,Infotop,Software,Others,"Post time: November 05, 2018",Experience: Executive,Any education,Full-time
English Teacher for Children,http://jobleadchina.com/job/2019,8K/MTH - 10K/MTH,Infotop,Software,Others,"Post time: November 05, 2018",Experience: Executive,Any education,Full-time
English Teacher,http://jobleadchina.com/job/2007,8K/MTH - 10K/MTH,Infotop,Software,Others,"Post time: November 05, 2018",Experience: Entry Level,Any education,Full-time
Foreign Kindergarten Teacher,http://jobleadchina.com/job/2866,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: November 05, 2018",Experience: Associate,Bachelor,Full-time
ESL TEACHER,http://jobleadchina.com/job/2865,18K/MTH - 22K/MTH,GHQD ,Teaching Center,Ningbo,"Post time: November 02, 2018",Experience: Associate,Any education,Full-time
"Qualified Foreign Teachers Wanted in China, salary",http://jobleadchina.com/job/2844,6K/MTH - 18K/MTH,Tianshuo Education,Consultancy/Legal/Admin,Others,"Post time: October 31, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
USKid online teacher,http://jobleadchina.com/job/2843,0K/MTH - 10000K/MTH,USKid,Teaching Center,Beijing,"Post time: October 30, 2018",Experience: Mid-Senior Level,Bachelor,Part-time
Foreign English Teacher,http://jobleadchina.com/job/2841,15K/MTH - 18K/MTH,Hailiang ECE,School,Hangzhou,"Post time: October 29, 2018",Experience: Associate,Bachelor,Full-time
Quanzhou Public School 2 teachers Required,http://jobleadchina.com/job/2431,12K/MTH - 15K/MTH,Wanfu Edu,School,Others,"Post time: October 29, 2018",Experience: Associate,Any education,Full-time
 Primary Teacher in Quanzhou,http://jobleadchina.com/job/2066,12K/MTH - 15K/MTH,Wanfu Edu,School,Others,"Post time: October 29, 2018",Experience: Entry Level,Any education,Full-time
